qseqid	sseqid	qlen	slen	sstart	send	evalue	mismatch
0_CP059547-3_55	73_CP058289-3_42	32	32	1	32	1.42e-12	0
0_CP059547-3_55	70_CP046536-1_27	32	32	32	1	1.42e-12	0
0_CP059547-3_55	60_CP065887-3_2	32	32	32	1	1.42e-12	0
0_CP059547-3_55	46_CP059040-3_42	32	32	1	32	1.42e-12	0
0_CP059547-3_55	45_CP046654-3_2	32	32	32	1	1.42e-12	0
0_CP059547-3_55	37_CP015121-3_42	32	32	1	32	1.42e-12	0
0_CP059547-3_55	16_CP059474-5_2	32	32	32	1	1.42e-12	0
0_CP059547-3_55	12_CP091334-5_2	32	32	32	1	1.42e-12	0
0_CP059547-3_55	45_CP045110-3_2	32	32	32	1	1.42e-12	0
0_CP059547-3_55	10_CP065432-4_42	32	32	1	32	1.42e-12	0
0_CP059547-3_55	1_CP059546-3_55	32	32	1	32	1.42e-12	0
0_CP059547-3_55	0_CP059547-3_55	32	32	1	32	1.42e-12	0
0_CP059547-3_31	1_CP059546-3_31	32	32	1	32	1.42e-12	0
0_CP059547-3_31	0_CP059547-3_31	32	32	1	32	1.42e-12	0
0_CP059547-3_54	73_CP058289-3_41	32	32	1	32	1.42e-12	0
0_CP059547-3_54	60_CP065887-3_3	32	32	32	1	1.42e-12	0
0_CP059547-3_54	46_CP059040-3_41	32	32	1	32	1.42e-12	0
0_CP059547-3_54	45_CP046654-3_3	32	32	32	1	1.42e-12	0
0_CP059547-3_54	37_CP015121-3_41	32	32	1	32	1.42e-12	0
0_CP059547-3_54	12_CP091334-5_3	32	32	32	1	1.42e-12	0
0_CP059547-3_54	45_CP045110-3_3	32	32	32	1	1.42e-12	0
0_CP059547-3_54	10_CP065432-4_41	32	32	1	32	1.42e-12	0
0_CP059547-3_54	1_CP059546-3_54	32	32	1	32	1.42e-12	0
0_CP059547-3_54	0_CP059547-3_54	32	32	1	32	1.42e-12	0
0_CP059547-3_8	1_CP059546-3_8	32	32	1	32	1.42e-12	0
0_CP059547-3_8	0_CP059547-3_8	32	32	1	32	1.42e-12	0
0_CP059547-3_14	1_CP059546-3_14	32	32	1	32	1.42e-12	0
0_CP059547-3_14	0_CP059547-3_14	32	32	1	32	1.42e-12	0
0_CP059547-3_15	1_CP059546-3_15	32	32	1	32	1.42e-12	0
0_CP059547-3_15	0_CP059547-3_15	32	32	1	32	1.42e-12	0
0_CP059547-3_18	1_CP059546-3_18	32	32	1	32	1.42e-12	0
0_CP059547-3_18	0_CP059547-3_18	32	32	1	32	1.42e-12	0
0_CP059547-3_18	73_CP058289-3_31	32	32	32	4	6.62e-11	0
0_CP059547-3_18	60_CP065887-3_13	32	32	1	29	6.62e-11	0
0_CP059547-3_18	46_CP059040-3_31	32	32	32	4	6.62e-11	0
0_CP059547-3_18	45_CP046654-3_13	32	32	1	29	6.62e-11	0
0_CP059547-3_18	37_CP015121-3_31	32	32	32	4	6.62e-11	0
0_CP059547-3_18	12_CP091334-5_13	32	32	1	29	6.62e-11	0
0_CP059547-3_18	45_CP045110-3_13	32	32	1	29	6.62e-11	0
0_CP059547-3_18	10_CP065432-4_31	32	32	32	4	6.62e-11	0
